MesAnoEstado;IQA;area há;PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr))
202211AC;43.73604;3.42895758056641;1001,1;17,7;89.0;236.0
202211AC;43.73604;5929.26770351563;1001,1;17,7;89.0;236.0
202211AC;43.73604;32.06071138916015;1001,4;19,1;81.0;249.0
202211AC;43.73604;2004.3457439209;1001,4;19,1;81.0;249.0
202211AC;43.73604;0.528358068847656;1001,4;19,1;81.0;249.0
202211AC;43.73604;3.42895758056641;1001,4;19,1;81.0;249.0
202211AC;43.73604;5929.26770351563;1001,4;19,1;81.0;249.0
202211AC;43.73604;32.06071138916015;1000,7;23,2;70.0;197.0
202211AC;43.73604;2004.3457439209;1000,7;23,2;70.0;197.0
202211AC;43.73604;0.528358068847656;1000,7;23,2;70.0;197.0
202211AC;43.73604;3.42895758056641;1000,7;23,2;70.0;197.0
202211AC;43.73604;5929.26770351563;1000,7;23,2;70.0;197.0
202211AC;43.73604;32.06071138916015;999,8;24,7;47.0;199.0
202211AC;43.73604;2004.3457439209;999,8;24,7;47.0;199.0
202211AC;43.73604;0.528358068847656;999,8;24,7;47.0;199.0
202211AC;43.73604;3.42895758056641;999,8;24,7;47.0;199.0
202211AC;43.73604;5929.26770351563;999,8;24,7;47.0;199.0
202211AC;43.73604;32.06071138916015;998,8;25,6;41.0;201.0
202211AC;43.73604;2004.3457439209;998,8;25,6;41.0;201.0
202211AC;43.73604;0.528358068847656;998,8;25,6;41.0;201.0
202211AC;43.73604;3.42895758056641;998,8;25,6;41.0;201.0
202211AC;43.73604;5929.26770351563;998,8;25,6;41.0;201.0
202211AC;43.73604;32.06071138916015;997,2;26,6;39.0;215.0
202211AC;43.73604;2004.3457439209;997,2;26,6;39.0;215.0
202211AC;43.73604;0.528358068847656;997,2;26,6;39.0;215.0
202211AC;43.73604;3.42895758056641;997,2;26,6;39.0;215.0
202211AC;43.73604;5929.26770351563;997,2;26,6;39.0;215.0
202211AC;43.73604;32.06071138916015;996;27;35.0;222.0
202211AC;43.73604;2004.3457439209;996;27;35.0;222.0
202211AC;43.73604;0.528358068847656;996;27;35.0;222.0
202211AC;43.73604;3.42895758056641;996;27;35.0;222.0
202211AC;43.73604;5929.26770351563;996;27;35.0;222.0
202211AC;43.73604;32.06071138916015;995,3;27,2;33.0;211.0
202211AC;43.73604;2004.3457439209;995,3;27,2;33.0;211.0
202211AC;43.73604;0.528358068847656;995,3;27,2;33.0;211.0
202211AC;43.73604;3.42895758056641;995,3;27,2;33.0;211.0
202211AC;43.73604;5929.26770351563;995,3;27,2;33.0;211.0
202211AC;43.73604;32.06071138916015;994,7;27,1;33.0;183.0
202211AC;43.73604;2004.3457439209;994,7;27,1;33.0;183.0
202211AC;43.73604;0.528358068847656;994,7;27,1;33.0;183.0
202211AC;43.73604;3.42895758056641;994,7;27,1;33.0;183.0
202211AC;43.73604;5929.26770351563;994,7;27,1;33.0;183.0
202211AC;43.73604;32.06071138916015;994,5;27,3;33.0;211.0
202211AC;43.73604;2004.3457439209;994,5;27,3;33.0;211.0
202211AC;43.73604;0.528358068847656;994,5;27,3;33.0;211.0
202211AC;43.73604;3.42895758056641;994,5;27,3;33.0;211.0
202211AC;43.73604;5929.26770351563;994,5;27,3;33.0;211.0
202211AC;43.73604;32.06071138916015;994,5;26,3;69.0;138.0
202211AC;43.73604;2004.3457439209;994,5;26,3;69.0;138.0
202211AC;43.73604;0.528358068847656;994,5;26,3;69.0;138.0
202211AC;43.73604;3.42895758056641;994,5;26,3;69.0;138.0
202211AC;43.73604;5929.26770351563;994,5;26,3;69.0;138.0
202211AC;43.73604;32.06071138916015;995,3;21,3;84.0;169.0
202211AC;43.73604;2004.3457439209;995,3;21,3;84.0;169.0
202211AC;43.73604;0.528358068847656;995,3;21,3;84.0;169.0
202211AC;43.73604;3.42895758056641;995,3;21,3;84.0;169.0
202211AC;43.73604;5929.26770351563;995,3;21,3;84.0;169.0
202211AC;43.73604;32.06071138916015;996,6;17,6;96.0;159.0
202211AC;43.73604;2004.3457439209;996,6;17,6;96.0;159.0
202211AC;43.73604;0.528358068847656;996,6;17,6;96.0;159.0
202211AC;43.73604;3.42895758056641;996,6;17,6;96.0;159.0
202211AC;43.73604;5929.26770351563;996,6;17,6;96.0;159.0
202211AC;43.73604;32.06071138916015;997,6;16,4;99.0;141.0
202211AC;43.73604;2004.3457439209;997,6;16,4;99.0;141.0
202211AC;43.73604;0.528358068847656;997,6;16,4;99.0;141.0
202211AC;43.73604;3.42895758056641;997,6;16,4;99.0;141.0
202211AC;43.73604;5929.26770351563;997,6;16,4;99.0;141.0
202211AC;43.73604;32.06071138916015;998,5;15,7;100.0;165.0
202211AC;43.73604;2004.3457439209;998,5;15,7;100.0;165.0
202211AC;43.73604;0.528358068847656;998,5;15,7;100.0;165.0
202211AC;43.73604;3.42895758056641;998,5;15,7;100.0;165.0
202211AC;43.73604;5929.26770351563;998,5;15,7;100.0;165.0
202211AC;43.73604;32.06071138916015;998,9;15,2;100.0;173.0
202211AC;43.73604;2004.3457439209;998,9;15,2;100.0;173.0
202211AC;43.73604;0.528358068847656;998,9;15,2;100.0;173.0
202211AC;43.73604;3.42895758056641;998,9;15,2;100.0;173.0
202211AC;43.73604;5929.26770351563;998,9;15,2;100.0;173.0
202211AC;43.73604;32.06071138916015;998,7;14,8;100.0;172.0
202211AC;43.73604;2004.3457439209;998,7;14,8;100.0;172.0
202211AC;43.73604;0.528358068847656;998,7;14,8;100.0;172.0
202211AC;43.73604;3.42895758056641;998,7;14,8;100.0;172.0
202211AC;43.73604;5929.26770351563;998,7;14,8;100.0;172.0
202211AC;43.73604;32.06071138916015;998,1;14,6;100.0;178.0
202211AC;43.73604;2004.3457439209;998,1;14,6;100.0;178.0
202211AC;43.73604;0.528358068847656;998,1;14,6;100.0;178.0
202211AC;43.73604;3.42895758056641;998,1;14,6;100.0;178.0
202211AC;43.73604;5929.26770351563;998,1;14,6;100.0;178.0
202211AC;43.73604;32.06071138916015;997,9;15,4;100.0;174.0
202211AC;43.73604;2004.3457439209;997,9;15,4;100.0;174.0
202211AC;43.73604;0.528358068847656;997,9;15,4;100.0;174.0
202211AC;43.73604;3.42895758056641;997,9;15,4;100.0;174.0
202211AC;43.73604;5929.26770351563;997,9;15,4;100.0;174.0
202211AC;43.73604;32.06071138916015;997,7;15,7;100.0;179.0
202211AC;43.73604;2004.3457439209;997,7;15,7;100.0;179.0
202211AC;43.73604;0.528358068847656;997,7;15,7;100.0;179.0
202211AC;43.73604;3.42895758056641;997,7;15,7;100.0;179.0
202211AC;43.73604;5929.26770351563;997,7;15,7;100.0;179.0
202211AC;43.73604;32.06071138916015;997,7;15,8;100.0;190.0
202211AC;43.73604;2004.3457439209;997,7;15,8;100.0;190.0
202211AC;43.73604;0.528358068847656;997,7;15,8;100.0;190.0
202211AC;43.73604;3.42895758056641;997,7;15,8;100.0;190.0
202211AC;43.73604;5929.26770351563;997,7;15,8;100.0;190.0
202211AC;43.73604;32.06071138916015;997,8;15,7;100.0;107.0
202211AC;43.73604;2004.3457439209;997,8;15,7;100.0;107.0
202211AC;43.73604;0.528358068847656;997,8;15,7;100.0;107.0
202211AC;43.73604;3.42895758056641;997,8;15,7;100.0;107.0
202211AC;43.73604;5929.26770351563;997,8;15,7;100.0;107.0
202211AC;43.73604;32.06071138916015;998,2;15,7;100.0;23.0
202211AC;43.73604;2004.3457439209;998,2;15,7;100.0;23.0
202211AC;43.73604;0.528358068847656;998,2;15,7;100.0;23.0
202211AC;43.73604;3.42895758056641;998,2;15,7;100.0;23.0
202211AC;43.73604;5929.26770351563;998,2;15,7;100.0;23.0
202211AC;43.73604;32.06071138916015;998,6;19,4;100.0;250.0
202211AC;43.73604;2004.3457439209;998,6;19,4;100.0;250.0
202211AC;43.73604;0.528358068847656;998,6;19,4;100.0;250.0
202211AC;43.73604;3.42895758056641;998,6;19,4;100.0;250.0
202211AC;43.73604;5929.26770351563;998,6;19,4;100.0;250.0
202211AC;43.73604;32.06071138916015;999,1;22,9;76.0;206.0
202211AC;43.73604;2004.3457439209;999,1;22,9;76.0;206.0
202211AC;43.73604;0.528358068847656;999,1;22,9;76.0;206.0
202211AC;43.73604;3.42895758056641;999,1;22,9;76.0;206.0
202211AC;43.73604;5929.26770351563;999,1;22,9;76.0;206.0
202211AC;43.73604;32.06071138916015;998,8;24,1;50.0;222.0
202211AC;43.73604;2004.3457439209;998,8;24,1;50.0;222.0
202211AC;43.73604;0.528358068847656;998,8;24,1;50.0;222.0
202211AC;43.73604;3.42895758056641;998,8;24,1;50.0;222.0
202211AC;43.73604;5929.26770351563;998,8;24,1;50.0;222.0
202211AC;43.73604;32.06071138916015;998;26,3;48.0;212.0
202211AC;43.73604;2004.3457439209;998;26,3;48.0;212.0
202211AC;43.73604;0.528358068847656;998;26,3;48.0;212.0
202211AC;43.73604;3.42895758056641;998;26,3;48.0;212.0
202211AC;43.73604;5929.26770351563;998;26,3;48.0;212.0
202211AC;43.73604;32.06071138916015;996,8;28,2;37.0;199.0
202211AC;43.73604;2004.3457439209;996,8;28,2;37.0;199.0
202211AC;43.73604;0.528358068847656;996,8;28,2;37.0;199.0
202211AC;43.73604;3.42895758056641;996,8;28,2;37.0;199.0
202211AC;43.73604;5929.26770351563;996,8;28,2;37.0;199.0
202211AC;43.73604;32.06071138916015;995,3;29,2;33.0;185.0
202211AC;43.73604;2004.3457439209;995,3;29,2;33.0;185.0
202211AC;43.73604;0.528358068847656;995,3;29,2;33.0;185.0
202211AC;43.73604;3.42895758056641;995,3;29,2;33.0;185.0
202211AC;43.73604;5929.26770351563;995,3;29,2;33.0;185.0
202211AC;43.73604;32.06071138916015;993,7;30,1;31.0;237.0
202211AC;43.73604;2004.3457439209;993,7;30,1;31.0;237.0
202211AC;43.73604;0.528358068847656;993,7;30,1;31.0;237.0
202211AC;43.73604;3.42895758056641;993,7;30,1;31.0;237.0
202211AC;43.73604;5929.26770351563;993,7;30,1;31.0;237.0
202211AC;43.73604;32.06071138916015;992,3;30,5;31.0;236.0
202211AC;43.73604;2004.3457439209;992,3;30,5;31.0;236.0
202211AC;43.73604;0.528358068847656;992,3;30,5;31.0;236.0
202211AC;43.73604;3.42895758056641;992,3;30,5;31.0;236.0
202211AC;43.73604;5929.26770351563;992,3;30,5;31.0;236.0
202211AC;43.73604;32.06071138916015;991,5;31,2;30.0;192.0
202211AC;43.73604;2004.3457439209;991,5;31,2;30.0;192.0
202211AC;43.73604;0.528358068847656;991,5;31,2;30.0;192.0
202211AC;43.73604;3.42895758056641;991,5;31,2;30.0;192.0
202211AC;43.73604;5929.26770351563;991,5;31,2;30.0;192.0
202211AC;43.73604;32.06071138916015;990,9;31,1;30.0;253.0
202211AC;43.73604;2004.3457439209;990,9;31,1;30.0;253.0
202211AC;43.73604;0.528358068847656;990,9;31,1;30.0;253.0
202211AC;43.73604;3.42895758056641;990,9;31,1;30.0;253.0
202211AC;43.73604;5929.26770351563;990,9;31,1;30.0;253.0
202211AC;43.73604;32.06071138916015;990,9;30,3;33.0;178.0
202211AC;43.73604;2004.3457439209;990,9;30,3;33.0;178.0
202211AC;43.73604;0.528358068847656;990,9;30,3;33.0;178.0
202211AC;43.73604;3.42895758056641;990,9;30,3;33.0;178.0
202211AC;43.73604;5929.26770351563;990,9;30,3;33.0;178.0
202211AC;43.73604;32.06071138916015;991;29,1;63.0;163.0
202211AC;43.73604;2004.3457439209;991;29,1;63.0;163.0
202211AC;43.73604;0.528358068847656;991;29,1;63.0;163.0
202211AC;43.73604;3.42895758056641;991;29,1;63.0;163.0
202211AC;43.73604;5929.26770351563;991;29,1;63.0;163.0
202211AC;43.73604;32.06071138916015;991,9;22,9;77.0;186.0
202211AC;43.73604;2004.3457439209;991,9;22,9;77.0;186.0
202211AC;43.73604;0.528358068847656;991,9;22,9;77.0;186.0
202211AC;43.73604;3.42895758056641;991,9;22,9;77.0;186.0
202211AC;43.73604;5929.26770351563;991,9;22,9;77.0;186.0
202211AC;43.73604;32.06071138916015;993,6;18,9;91.0;186.0
202211AC;43.73604;2004.3457439209;993,6;18,9;91.0;186.0
202211AC;43.73604;0.528358068847656;993,6;18,9;91.0;186.0
202211AC;43.73604;3.42895758056641;993,6;18,9;91.0;186.0
202211AC;43.73604;5929.26770351563;993,6;18,9;91.0;186.0
202211AC;43.73604;32.06071138916015;994,8;17,4;99.0;73.0
202211AC;43.73604;2004.3457439209;994,8;17,4;99.0;73.0
202211AC;43.73604;0.528358068847656;994,8;17,4;99.0;73.0
202211AC;43.73604;3.42895758056641;994,8;17,4;99.0;73.0
202211AC;43.73604;5929.26770351563;994,8;17,4;99.0;73.0
202211AC;43.73604;32.06071138916015;995,8;16,5;100.0;182.0
202211AC;43.73604;2004.3457439209;995,8;16,5;100.0;182.0
202211AC;43.73604;0.528358068847656;995,8;16,5;100.0;182.0
202211AC;43.73604;3.42895758056641;995,8;16,5;100.0;182.0
202211AC;43.73604;5929.26770351563;995,8;16,5;100.0;182.0
202211AC;43.73604;32.06071138916015;996,2;16,1;100.0;146.0
202211AC;43.73604;2004.3457439209;996,2;16,1;100.0;146.0
202211AC;43.73604;0.528358068847656;996,2;16,1;100.0;146.0
202211AC;43.73604;3.42895758056641;996,2;16,1;100.0;146.0
202211AC;43.73604;5929.26770351563;996,2;16,1;100.0;146.0
202211AC;43.73604;32.06071138916015;995,9;15,5;100.0;146.0
202211AC;43.73604;2004.3457439209;995,9;15,5;100.0;146.0
202211AC;43.73604;0.528358068847656;995,9;15,5;100.0;146.0
202211AC;43.73604;3.42895758056641;995,9;15,5;100.0;146.0
202211AC;43.73604;5929.26770351563;995,9;15,5;100.0;146.0
202211AC;43.73604;32.06071138916015;995,3;15;100.0;166.0
202211AC;43.73604;2004.3457439209;995,3;15;100.0;166.0
202211AC;43.73604;0.528358068847656;995,3;15;100.0;166.0
202211AC;43.73604;3.42895758056641;995,3;15;100.0;166.0
202211AC;43.73604;5929.26770351563;995,3;15;100.0;166.0
202211AC;43.73604;32.06071138916015;995,1;14,7;100.0;168.0
202211AC;43.73604;2004.3457439209;995,1;14,7;100.0;168.0
202211AC;43.73604;0.528358068847656;995,1;14,7;100.0;168.0
